  Namespace                   Name                                                      CPU Requests  CPU Limits   Memory Requests  Memory Limits  Age
  ack-onepilot                ack-onepilot-ack-onepilot-58d8c79f4f-8q56j                100m (2%)     100m (2%)    100Mi (0%)       512Mi (1%)     304d
  aigc-native                 aigc-diagnosis-platform-h5-internal-qa-f78c4687b-znxtn    100m (2%)     500m (12%)   200Mi (0%)       256Mi (0%)     68d
  aigc-native                 aigc-portal-h5-qa-65b86f48fc-zbtqn                        100m (2%)     500m (12%)   200Mi (0%)       256Mi (0%)     20h
  aigc-native                 dt-aigc-langchain-deploy-qa-86c77798f5-gvcgl              100m (2%)     500m (12%)   300Mi (1%)       1500Mi (5%)    68d
  airflow                     airflow2-postgresql-0                                     250m (6%)     0 (0%)       256Mi (0%)       0 (0%)         356d
  airflow                     airflow2-triggerer-0                                      0 (0%)        0 (0%)       0 (0%)           0 (0%)         298d
  arms-prom                   node-exporter-5k64z                                       112m (2%)     122m (3%)    200Mi (0%)       220Mi (0%)     526d
  as-claim-review             as-claim-review-qa-7c5bc6bff8-2xtx7                       100m (2%)     500m (12%)   1Gi (3%)         1Gi (3%)       36d
  as-leads                    as-leads-qa-5fc9887c59-l4n6l                              100m (2%)     500m (12%)   1Gi (3%)         1Gi (3%)       36d
  customer-service            openapigateway-87f8f745b-nzfbk                            100m (2%)     500m (12%)   200Mi (0%)       1Gi (3%)       17d
  customer-service            sklearn-classification-test-7b88c8954f-m5hm9              100m (2%)     4 (102%)     200Mi (0%)       4Gi (14%)      77d
  customer-service            vectorsearch-7bcf67f9bf-kmnk7                             100m (2%)     500m (12%)   200Mi (0%)       1Gi (3%)       17d
  diagnosis-qa                as-troubleshooting-qa-7c56b69469-csncm                    100m (2%)     500m (12%)   256Mi (0%)       2Gi (7%)       17d
  dt-bdp                      dt-bdp-vdp-ld-h5-qa-74554fdf8c-tjlmv                      100m (2%)     500m (12%)   128Mi (0%)       256Mi (0%)     40d
  dt-dsc-portal               dt-dsc-portal-pc-qa-55df658cdc-8d5kl                      50m (1%)      400m (10%)   256Mi (0%)       256Mi (0%)     17d
  fluid-system                csi-nodeplugin-fluid-z2rlx                                0 (0%)        0 (0%)       0 (0%)           0 (0%)         281d
  helm-middleware             imp-mysql-masterslave-dt-diagnosis-qamysql-primary-0      100m (2%)     4 (102%)     256Mi (0%)       10Gi (37%)     77d
  helm-middleware             imp-mysql-masterslave-infra-ai-xiaoji-qa-primary-0        200m (5%)     2 (51%)      256Mi (0%)       4Gi (14%)      356d
  helm-middleware             imp-redis-masterslave-dt-aigc-alteam-qa-master-0          110m (2%)     2500m (64%)  384Mi (1%)       4Gi (14%)      356d
  helm-middleware             nacos-1                                                   100m (2%)     2 (51%)      256Mi (0%)       3Gi (11%)      355d
  ipaas                       saas-api-bestmodel-646b66b76c-rjxx5                       1m (0%)       500m (12%)   128Mi (0%)       512Mi (1%)     17d
  kube-ai                     ack-ai-dashboard-grafana-767dd98447-442p7                 0 (0%)        0 (0%)       0 (0%)           0 (0%)         238d
  kube-ai                     ack-commit-agent-lpjnt                                    200m (5%)     200m (5%)    100Mi (0%)       100Mi (0%)     482d
